component,feature,loading
PC1,reanalysis_specific_humidity_g_per_kg_roll_6_mean,0.9744559212729088
PC1,reanalysis_dew_point_temp_k_roll_6_mean,0.9721470097826389
PC1,reanalysis_min_air_temp_k_roll_6_mean,0.9629628596648652
PC1,reanalysis_air_temp_k_roll_6_mean,0.9581119712946913
PC1,reanalysis_avg_temp_k_roll_6_mean,0.9525369368093367
PC1,reanalysis_max_air_temp_k_roll_6_mean,0.9311849103971602
PC1,reanalysis_specific_humidity_g_per_kg_lag_5,0.9240675582770925
PC1,reanalysis_air_temp_k_lag_5,0.923609008972683
PC1,reanalysis_specific_humidity_g_per_kg_lag_4,0.9229199231234904
PC1,reanalysis_air_temp_k_lag_4,0.9203727060965052
PC1,reanalysis_specific_humidity_g_per_kg_roll_3_mean,0.919116050000405
PC1,reanalysis_dew_point_temp_k_lag_5,0.9166153321749713
PC1,station_min_temp_c_roll_6_mean,0.915796471021908
PC1,reanalysis_dew_point_temp_k_lag_4,0.9150592022476753
PC1,reanalysis_air_temp_k_lag_6,0.9144601447673125
PC1,reanalysis_dew_point_temp_k_roll_3_mean,0.9139244150968032
PC1,reanalysis_avg_temp_k_lag_5,0.9130298132048525
PC1,reanalysis_specific_humidity_g_per_kg_lag_6,0.9119668151681427
PC1,reanalysis_specific_humidity_g_per_kg_lag_3,0.9104222958600267
PC1,reanalysis_avg_temp_k_lag_4,0.9082799680864301
PC2,reanalysis_specific_humidity_g_per_kg_lag_13,0.7435255385890497
PC2,reanalysis_dew_point_temp_k_lag_13,0.7340901327792282
PC2,reanalysis_air_temp_k_lag_13,0.7298993265215015
PC2,reanalysis_avg_temp_k_lag_13,0.7193378468286387
PC2,reanalysis_min_air_temp_k_lag_13,0.7172720719614198
PC2,reanalysis_specific_humidity_g_per_kg_lag_12,0.6977717852635338
PC2,reanalysis_dew_point_temp_k_lag_12,0.6897846569948611
PC2,station_avg_temp_c_lag_0,-0.6855285323382363
PC2,station_avg_temp_c,-0.6855285323382363
PC2,station_max_temp_c,-0.6826775339661246
PC2,station_max_temp_c_lag_0,-0.6826775339661245
PC2,reanalysis_air_temp_k_lag_12,0.677530125710531
PC2,reanalysis_max_air_temp_k_lag_13,0.675590593119494
PC2,reanalysis_min_air_temp_k_lag_12,0.6746555777268566
PC2,station_max_temp_c_roll_3_mean,-0.6707806351950139
PC2,reanalysis_avg_temp_k_lag_12,0.6656035819286693
PC2,station_max_temp_c_lag_1,-0.6507707733385879
PC2,reanalysis_specific_humidity_g_per_kg_lag_11,0.6343652442606424
PC2,reanalysis_dew_point_temp_k_lag_11,0.6276203017547549
PC2,station_min_temp_c_lag_13,0.6267273039732772
PC3,ndvi_nw_roll_6_mean,0.8469548633089256
PC3,ndvi_ne_roll_6_mean,0.8015408307869303
PC3,ndvi_nw_roll_3_mean,0.7828500036656835
PC3,ndvi_ne_roll_3_mean,0.7156816944089873
PC3,ndvi_nw_lag_3,0.6472916830968847
PC3,ndvi_nw_lag_2,0.6406248963988048
PC3,ndvi_nw_lag_4,0.6347494108888414
PC3,ndvi_nw_lag_5,0.6330267504836288
PC3,ndvi_nw_lag_6,0.6316308833339882
PC3,ndvi_nw_lag_1,0.6312660893950913
PC3,ndvi_nw_lag_0,0.619232901260699
PC3,ndvi_nw,0.6192329012606972
PC3,ndvi_nw_lag_7,0.6147425903314921
PC3,ndvi_nw_lag_8,0.6030948189015498
PC3,ndvi_nw_lag_9,0.598402632350277
PC3,ndvi_nw_lag_10,0.5867377403169549
PC3,ndvi_nw_lag_11,0.5751344596203484
PC3,ndvi_nw_lag_12,0.5705092562897498
PC3,ndvi_ne_lag_3,0.5667271489759457
PC3,ndvi_ne_lag_2,0.5649082070119411
