city,scenario,feature,mean_gain_importance,importance_share
iq,weather_only,station_precip_mm,1467.7623926401138,0.1356800288493597
iq,weather_only,reanalysis_precip_amt_kg_per_m2,1066.215451860428,0.09856100959763907
iq,weather_only,ndvi_nw,854.195915530622,0.07896191307486192
iq,weather_only,station_diur_temp_rng_c,737.6669351428748,0.06818996831045297
iq,weather_only,precipitation_amt_mm,615.9245222080499,0.05693609358112694
iq,weather_only,reanalysis_tdtr_k,599.8662498988211,0.05545166608719996
iq,weather_only,reanalysis_air_temp_k,573.6488442670554,0.0530281278017729
iq,weather_only,ndvi_ne,572.5013501793146,0.05292205339101688
iq,weather_only,station_avg_temp_c,556.0000217348337,0.05139666976582892
iq,weather_only,reanalysis_min_air_temp_k,536.6934334933758,0.04961196778496409
iq,weather_only,ndvi_se,497.316762059927,0.04597198631189192
iq,weather_only,station_max_temp_c,406.1428576081991,0.03754386603278598
iq,weather_only,reanalysis_relative_humidity_percent,394.4771151334047,0.0364654842160382
iq,weather_only,ndvi_sw,393.03886196613314,0.036332532021455075
iq,weather_only,reanalysis_max_air_temp_k,370.4264461070299,0.03424223917058141
iq,weather_only,station_min_temp_c,368.6777091741562,0.03408058584120603
iq,weather_only,reanalysis_avg_temp_k,361.34200841486455,0.033402473296803896
iq,weather_only,reanalysis_dew_point_temp_k,230.77827668786048,0.021333155417950493
iq,weather_only,reanalysis_specific_humidity_g_per_kg,145.98684338331222,0.013495031090315879
iq,weather_only,reanalysis_sat_precip_amt_mm,69.15994054675102,0.006393148356747675
iq,weather_plus_seasonality,station_precip_mm,1447.0971458122135,0.13294478836264523
iq,weather_plus_seasonality,reanalysis_precip_amt_kg_per_m2,1026.39956869781,0.09429530963482952
iq,weather_plus_seasonality,ndvi_nw,823.9135272547603,0.07569292070472977
iq,weather_plus_seasonality,station_diur_temp_rng_c,698.8348463475704,0.06420194457364765
iq,weather_plus_seasonality,precipitation_amt_mm,612.3196528807282,0.05625379532956422
iq,weather_plus_seasonality,reanalysis_tdtr_k,578.7409426525235,0.053168919834026086
iq,weather_plus_seasonality,reanalysis_min_air_temp_k,538.6942666351795,0.04948983243954089
iq,weather_plus_seasonality,reanalysis_air_temp_k,528.1275344923139,0.048519066950518
iq,weather_plus_seasonality,station_avg_temp_c,517.6073913946748,0.047552581596229375
iq,weather_plus_seasonality,ndvi_ne,515.7126263596117,0.047378509567055395
iq,weather_plus_seasonality,ndvi_se,480.78672934770583,0.04416986804629746
iq,weather_plus_seasonality,ndvi_sw,381.1044565632939,0.03501205946573184
iq,weather_plus_seasonality,reanalysis_relative_humidity_percent,367.0411245048046,0.0337200614063064
iq,weather_plus_seasonality,reanalysis_max_air_temp_k,366.7558710506884,0.03369385517668531
iq,weather_plus_seasonality,station_max_temp_c,353.8051387935877,0.03250407164069803
iq,weather_plus_seasonality,reanalysis_avg_temp_k,347.76828828155993,0.0319494662943873
iq,weather_plus_seasonality,weekofyear_sin,324.61845599357036,0.029822691624791703
iq,weather_plus_seasonality,station_min_temp_c,316.79893752634524,0.02910431260598743
iq,weather_plus_seasonality,weekofyear_cos,266.51297955811026,0.024484542565637007
iq,weather_plus_seasonality,reanalysis_dew_point_temp_k,215.07097896933556,0.01975856691084624
iq,weather_plus_seasonality,reanalysis_specific_humidity_g_per_kg,144.54893587231635,0.013279708099213144
iq,weather_plus_seasonality,reanalysis_sat_precip_amt_mm,32.68888393938541,0.0030031271706319937
sj,weather_only,station_diur_temp_rng_c,3756.490815329552,0.20116239069026498
sj,weather_only,reanalysis_precip_amt_kg_per_m2,2276.8079534053804,0.12192446449771376
sj,weather_only,ndvi_ne,1444.4312755703927,0.0773501820890352
sj,weather_only,station_precip_mm,1355.4208008766175,0.07258361649201421
sj,weather_only,station_avg_temp_c,1227.004261881113,0.06570683194536038
sj,weather_only,ndvi_nw,1169.8674352288247,0.06264711978023926
sj,weather_only,precipitation_amt_mm,845.908466410637,0.04529891799918353
sj,weather_only,reanalysis_tdtr_k,844.5288089752197,0.045225036496023836
sj,weather_only,reanalysis_air_temp_k,805.0756914377213,0.04311229781671178
sj,weather_only,ndvi_sw,670.6055806398392,0.03591134078146513
sj,weather_only,reanalysis_min_air_temp_k,661.4617145180703,0.03542168113376933
sj,weather_only,station_max_temp_c,658.7674616098404,0.03527740223551355
sj,weather_only,reanalysis_relative_humidity_percent,648.3312053084373,0.034718534299811595
sj,weather_only,ndvi_se,526.0719364523887,0.028171475351400722
sj,weather_only,reanalysis_avg_temp_k,468.847565984726,0.025107075161190075
sj,weather_only,reanalysis_max_air_temp_k,422.63427900075914,0.02263232525539681
sj,weather_only,reanalysis_dew_point_temp_k,318.38964407444,0.017049961019914822
sj,weather_only,station_min_temp_c,258.50423436164857,0.013843060543509879
sj,weather_only,reanalysis_specific_humidity_g_per_kg,241.2217754125595,0.01291757425055321
sj,weather_only,reanalysis_sat_precip_amt_mm,73.5512041091919,0.003938712160927957
sj,weather_plus_seasonality,station_diur_temp_rng_c,3902.8759716391564,0.20725358853533146
sj,weather_plus_seasonality,reanalysis_precip_amt_kg_per_m2,2203.474336183071,0.11701062671167849
sj,weather_plus_seasonality,station_precip_mm,1330.0339156270027,0.07062850674489238
sj,weather_plus_seasonality,ndvi_ne,1312.497316801548,0.0696972644856736
sj,weather_plus_seasonality,station_avg_temp_c,1171.3699086546899,0.0622030058949138
sj,weather_plus_seasonality,ndvi_nw,1087.369591629505,0.05774235501384997
sj,weather_plus_seasonality,reanalysis_tdtr_k,825.8814086079598,0.043856603920397245
sj,weather_plus_seasonality,precipitation_amt_mm,805.2630692720413,0.042761712653531396
sj,weather_plus_seasonality,reanalysis_air_temp_k,755.4830046772956,0.04011825252316794
sj,weather_plus_seasonality,reanalysis_relative_humidity_percent,650.0676723718643,0.03452040466284525
sj,weather_plus_seasonality,ndvi_sw,637.4494590044021,0.03385034237536429
sj,weather_plus_seasonality,reanalysis_min_air_temp_k,583.8383447527885,0.031003442833906898
sj,weather_plus_seasonality,station_max_temp_c,575.3663131833076,0.0305535543522542
sj,weather_plus_seasonality,weekofyear_cos,469.463544356823,0.024929822254536937
sj,weather_plus_seasonality,reanalysis_avg_temp_k,450.8408775687218,0.02394090676042998
sj,weather_plus_seasonality,ndvi_se,443.0389851570129,0.023526604535239328
sj,weather_plus_seasonality,weekofyear_sin,429.009985268116,0.022781625552647032
sj,weather_plus_seasonality,reanalysis_max_air_temp_k,386.19417731761934,0.020507986854348056
sj,weather_plus_seasonality,reanalysis_dew_point_temp_k,322.2645241379738,0.017113144145642654
sj,weather_plus_seasonality,station_min_temp_c,246.62506021261214,0.01309647785972017
sj,weather_plus_seasonality,reanalysis_specific_humidity_g_per_kg,200.95341062545776,0.010671186013387042
sj,weather_plus_seasonality,reanalysis_sat_precip_amt_mm,42.04271514415741,0.00223258531624201
