city,feature,importance_gain,importance_split
iq,weekofyear_cos,6857.335391819477,148
iq,station_avg_temp_c_rolling_6_mean,2984.5911039114,112
iq,reanalysis_specific_humidity_g_per_kg_rolling_3_mean,2009.7332456707954,32
iq,station_max_temp_c_rolling_6_mean,1649.2018868923187,117
iq,reanalysis_specific_humidity_g_per_kg_rolling_4_mean,1609.1017398834229,34
iq,reanalysis_dew_point_temp_k_rolling_6_mean,1532.7782894968987,36
iq,station_max_temp_c_lag_6,1414.9563379883766,80
iq,reanalysis_specific_humidity_g_per_kg_rolling_8_mean,1264.4540145099163,80
iq,ndvi_nw_lag_14,1107.3069241642952,182
iq,reanalysis_min_air_temp_k_rolling_7_mean,1078.7780639529228,70
iq,weekofyear_sin,978.1682969331741,102
iq,reanalysis_specific_humidity_g_per_kg_lag_5,969.0104792118073,75
iq,precipitation_amt_mm_rolling_14_mean,934.2429858446121,104
iq,reanalysis_min_air_temp_k_rolling_4_mean,920.2494640946388,38
iq,station_avg_temp_c_rolling_3_mean,812.9441400170326,42
iq,station_min_temp_c_rolling_4_mean,754.5818145275116,50
iq,reanalysis_min_air_temp_k_rolling_3_mean,753.702196419239,52
iq,station_min_temp_c_rolling_6_mean,752.277645945549,86
iq,ndvi_sw_lag_10,724.7562599182129,87
iq,ndvi_sw_lag_11,693.4355845451355,101
iq,station_min_temp_c_rolling_3_mean,676.0740810632706,79
iq,reanalysis_specific_humidity_g_per_kg_rolling_6_mean,672.0408564805984,35
iq,reanalysis_specific_humidity_g_per_kg_lag_3,667.6694061756134,58
iq,station_max_temp_c,652.4336352944374,57
iq,ndvi_sw_lag_14,583.4037712216377,91
iq,reanalysis_dew_point_temp_k_rolling_8_mean,575.3770040273666,56
iq,station_max_temp_c_rolling_5_mean,544.2802591323853,62
iq,reanalysis_min_air_temp_k_rolling_5_mean,528.7963532209396,42
iq,station_avg_temp_c_rolling_5_mean,519.3452721834183,36
iq,precipitation_amt_mm_rolling_10_mean,474.7177743911743,64
iq,station_avg_temp_c_lag_6,448.00982704758644,91
iq,ndvi_nw_lag_11,441.42972964048386,83
iq,station_avg_temp_c,435.8821192383766,63
iq,reanalysis_min_air_temp_k_rolling_6_mean,431.7864049077034,57
iq,station_avg_temp_c_rolling_4_mean,427.5168828368187,52
iq,reanalysis_precip_amt_kg_per_m2,424.8854969441891,93
iq,precipitation_amt_mm_rolling_7_mean,413.25605779886246,28
iq,ndvi_nw_lag_10,371.4626934826374,72
iq,reanalysis_min_air_temp_k_lag_3,367.6630519926548,38
iq,reanalysis_dew_point_temp_k_lag_5,363.4472013115883,50
iq,reanalysis_min_air_temp_k_rolling_8_mean,360.6382094025612,37
iq,precipitation_amt_mm_rolling_4_mean,344.44568932056427,54
iq,ndvi_nw,320.6533995270729,63
iq,station_avg_temp_c_lag_4,308.9470545053482,54
iq,station_avg_temp_c_lag_2,300.6455320715904,64
iq,ndvi_sw,289.6911813020706,43
iq,reanalysis_min_air_temp_k_lag_2,286.87559881806374,50
iq,station_min_temp_c,281.9649023413658,67
iq,reanalysis_min_air_temp_k,276.957112967968,44
iq,station_min_temp_c_rolling_5_mean,271.2117056250572,63
iq,station_min_temp_c_lag_2,270.8434348702431,54
iq,reanalysis_specific_humidity_g_per_kg_lag_2,265.75500297546387,37
iq,reanalysis_specific_humidity_g_per_kg,259.27797985076904,51
iq,station_min_temp_c_lag_4,249.9507810473442,44
iq,station_min_temp_c_lag_3,243.60623210668564,59
iq,station_min_temp_c_lag_6,238.0296834409237,50
iq,station_min_temp_c_lag_1,232.69378209114075,71
iq,ndvi_se,223.06440803408623,48
iq,station_max_temp_c_lag_4,211.63273400068283,42
iq,reanalysis_min_air_temp_k_lag_1,211.57068985700607,36
iq,reanalysis_min_air_temp_k_lag_5,201.35723310709,28
iq,reanalysis_dew_point_temp_k,200.256722509861,38
iq,precipitation_amt_mm_lag_2,199.87042027711868,37
iq,reanalysis_dew_point_temp_k_rolling_3_mean,197.78823310136795,16
iq,reanalysis_dew_point_temp_k_lag_3,157.42834997177124,22
iq,ndvi_ne,141.26716434955597,23
iq,precipitation_amt_mm_lag_3,130.82015225291252,42
iq,reanalysis_dew_point_temp_k_lag_1,117.31593406200409,12
iq,reanalysis_dew_point_temp_k_lag_2,108.96133714914322,24
iq,precipitation_amt_mm,108.68211016058922,28
iq,reanalysis_specific_humidity_g_per_kg_lag_1,106.19314140081406,26
iq,reanalysis_sat_precip_amt_mm_rolling_7_mean,97.8419017791748,4
iq,reanalysis_sat_precip_amt_mm_rolling_14_mean,64.38670873641968,5
iq,reanalysis_sat_precip_amt_mm_rolling_4_mean,29.133209943771362,4
iq,reanalysis_sat_precip_amt_mm_lag_3,25.74804997444153,4
iq,reanalysis_sat_precip_amt_mm_rolling_10_mean,25.040140628814697,3
iq,reanalysis_dew_point_temp_k_rolling_4_mean,15.258960127830505,11
iq,reanalysis_sat_precip_amt_mm_lag_2,11.286730289459229,3
iq,reanalysis_sat_precip_amt_mm,2.955335021018982,4
sj,station_min_temp_c_rolling_14_mean,39557.80715107918,103
sj,reanalysis_dew_point_temp_k_rolling_10_mean,20393.258407354355,51
sj,station_max_temp_c_rolling_14_mean,19460.713975787163,210
sj,station_min_temp_c_rolling_12_mean,9676.473213076591,48
sj,reanalysis_specific_humidity_g_per_kg_lag_10,8786.746430754662,60
sj,reanalysis_specific_humidity_g_per_kg_lag_8,6754.556442022324,52
sj,reanalysis_dew_point_temp_k_rolling_14_mean,5624.7924745082855,38
sj,reanalysis_dew_point_temp_k_rolling_12_mean,5361.7999176979065,41
sj,weekofyear_cos,4256.451200962067,76
sj,reanalysis_specific_humidity_g_per_kg_rolling_12_mean,3992.335526227951,22
sj,station_avg_temp_c_lag_12,3955.0636858940125,101
sj,reanalysis_dew_point_temp_k_lag_8,3359.8027217388153,70
sj,reanalysis_avg_temp_k_lag_12,3188.2839064598083,55
sj,reanalysis_dew_point_temp_k_rolling_3_mean,2683.3362193107605,50
sj,station_avg_temp_c_lag_8,2619.661455512047,42
sj,station_max_temp_c_rolling_10_mean,2432.0848301649094,81
sj,reanalysis_min_air_temp_k_rolling_14_mean,2401.000161409378,85
sj,reanalysis_specific_humidity_g_per_kg_lag_12,2280.190295934677,51
sj,reanalysis_air_temp_k_rolling_8_mean,2269.4228229522705,85
sj,reanalysis_dew_point_temp_k_rolling_8_mean,1931.9598498344421,18
sj,reanalysis_dew_point_temp_k_lag_12,1858.2621586322784,37
sj,reanalysis_min_air_temp_k_rolling_4_mean,1716.8562796115875,26
sj,reanalysis_relative_humidity_percent,1589.6739070415497,53
sj,reanalysis_dew_point_temp_k_lag_5,1417.0557315349579,57
sj,reanalysis_dew_point_temp_k_lag_3,1408.7595546245575,43
sj,station_max_temp_c_lag_12,1316.0364463329315,34
sj,station_max_temp_c_rolling_8_mean,1259.4268289804459,43
sj,reanalysis_avg_temp_k_rolling_8_mean,1171.0797202587128,41
sj,reanalysis_max_air_temp_k_lag_12,1117.0067573785782,62
sj,reanalysis_specific_humidity_g_per_kg_rolling_8_mean,1094.9494557380676,8
sj,station_avg_temp_c_rolling_4_mean,1087.026736497879,30
sj,station_max_temp_c_rolling_12_mean,1062.134581565857,53
sj,station_avg_temp_c_rolling_6_mean,1023.7558853626251,37
sj,reanalysis_avg_temp_k_rolling_14_mean,990.318151473999,41
sj,reanalysis_dew_point_temp_k_rolling_4_mean,984.3292391300201,24
sj,reanalysis_dew_point_temp_k_rolling_6_mean,971.0684747695923,32
sj,reanalysis_air_temp_k_lag_12,938.9835722446442,35
sj,reanalysis_air_temp_k_rolling_12_mean,930.6305778026581,38
sj,reanalysis_specific_humidity_g_per_kg_rolling_10_mean,923.6521487236023,37
sj,reanalysis_air_temp_k_lag_8,900.9648315906525,39
sj,reanalysis_dew_point_temp_k,841.4669857025146,38
sj,reanalysis_max_air_temp_k_rolling_12_mean,832.5946295261383,51
sj,reanalysis_max_air_temp_k_rolling_10_mean,792.3330216407776,36
sj,reanalysis_dew_point_temp_k_lag_10,745.1344435214996,35
sj,reanalysis_specific_humidity_g_per_kg_rolling_6_mean,705.5233502388,15
sj,reanalysis_specific_humidity_g_per_kg_rolling_4_mean,689.5972318649292,19
sj,station_avg_temp_c_rolling_12_mean,686.1391055583954,33
sj,station_avg_temp_c_rolling_3_mean,664.508931517601,25
sj,weekofyear_sin,654.394327878952,15
sj,station_avg_temp_c_rolling_10_mean,649.433830499649,50
sj,reanalysis_air_temp_k_rolling_14_mean,645.945472240448,20
sj,reanalysis_max_air_temp_k_lag_10,645.3860139846802,27
sj,station_min_temp_c_lag_10,624.655960559845,24
sj,station_max_temp_c_rolling_6_mean,588.5624594688416,22
sj,reanalysis_dew_point_temp_k_lag_1,583.2572848796844,39
sj,station_avg_temp_c_lag_10,578.2190294265747,29
sj,reanalysis_dew_point_temp_k_lag_6,577.820485830307,35
sj,station_min_temp_c,565.8508803844452,44
sj,station_min_temp_c_rolling_4_mean,557.2327353954315,34
sj,station_avg_temp_c_rolling_8_mean,556.809351682663,28
sj,reanalysis_max_air_temp_k_lag_8,548.8435716629028,46
sj,reanalysis_air_temp_k_rolling_10_mean,527.838675737381,33
sj,reanalysis_max_air_temp_k_rolling_14_mean,525.7534499168396,40
sj,reanalysis_air_temp_k,495.93643593788147,17
sj,station_min_temp_c_lag_12,495.1390640735626,17
sj,station_avg_temp_c_lag_4,495.04960918426514,28
sj,reanalysis_dew_point_temp_k_lag_2,489.2115375995636,29
sj,station_avg_temp_c_lag_2,474.2341277599335,44
sj,reanalysis_max_air_temp_k_rolling_8_mean,474.14548897743225,20
sj,reanalysis_specific_humidity_g_per_kg_lag_3,471.81952810287476,17
sj,reanalysis_avg_temp_k_lag_10,471.4195365905762,29
sj,station_min_temp_c_rolling_8_mean,457.7530381679535,26
sj,reanalysis_specific_humidity_g_per_kg,457.3769552707672,21
sj,reanalysis_avg_temp_k_rolling_12_mean,454.1589369773865,29
sj,reanalysis_avg_temp_k,441.43786668777466,22
sj,reanalysis_min_air_temp_k_rolling_10_mean,431.07483971118927,37
sj,reanalysis_air_temp_k_lag_10,428.9559613466263,36
sj,station_min_temp_c_rolling_3_mean,427.7351858615875,30
sj,reanalysis_max_air_temp_k,419.1221500635147,42
sj,reanalysis_max_air_temp_k_lag_6,411.2891811132431,43
sj,station_avg_temp_c_rolling_5_mean,406.7429211139679,15
sj,reanalysis_min_air_temp_k_rolling_7_mean,405.6632813215256,20
sj,station_avg_temp_c_lag_6,398.526718378067,49
sj,reanalysis_specific_humidity_g_per_kg_rolling_14_mean,388.80321741104126,26
sj,reanalysis_min_air_temp_k_lag_2,380.0982012748718,48
sj,station_max_temp_c_lag_10,375.10870885849,16
sj,reanalysis_min_air_temp_k,371.4583306312561,25
sj,reanalysis_min_air_temp_k_rolling_6_mean,367.4480073451996,20
sj,reanalysis_min_air_temp_k_lag_8,362.3547476530075,35
sj,reanalysis_avg_temp_k_lag_8,357.30056977272034,30
sj,station_min_temp_c_rolling_6_mean,353.8082308769226,10
sj,station_min_temp_c_rolling_10_mean,339.3856768608093,37
sj,reanalysis_avg_temp_k_lag_6,335.4561519622803,18
sj,reanalysis_air_temp_k_lag_6,323.0232219696045,15
sj,reanalysis_min_air_temp_k_rolling_12_mean,320.19140005111694,41
sj,reanalysis_min_air_temp_k_lag_12,316.7876307964325,22
sj,reanalysis_avg_temp_k_rolling_10_mean,313.06581687927246,21
sj,reanalysis_min_air_temp_k_lag_1,305.14271116256714,17
sj,reanalysis_min_air_temp_k_rolling_5_mean,298.46428418159485,17
sj,station_max_temp_c_rolling_5_mean,294.65358233451843,17
sj,reanalysis_min_air_temp_k_rolling_8_mean,279.544082403183,27
sj,reanalysis_min_air_temp_k_lag_5,274.95940947532654,29
sj,station_avg_temp_c_lag_5,273.83819675445557,25
sj,reanalysis_specific_humidity_g_per_kg_rolling_3_mean,267.7972493171692,9
sj,reanalysis_min_air_temp_k_lag_10,245.72218084335327,33
sj,station_avg_temp_c_rolling_14_mean,234.89206218719482,17
sj,reanalysis_min_air_temp_k_lag_3,230.0759575366974,18
sj,station_max_temp_c_lag_4,225.88004195690155,18
sj,reanalysis_min_air_temp_k_rolling_3_mean,216.83289885520935,22
sj,reanalysis_specific_humidity_g_per_kg_lag_1,176.03736865520477,13
sj,station_max_temp_c_lag_8,175.38344955444336,11
sj,station_min_temp_c_rolling_5_mean,170.9341812133789,13
sj,reanalysis_specific_humidity_g_per_kg_lag_6,163.57633137702942,12
sj,reanalysis_min_air_temp_k_lag_6,160.70200037956238,21
sj,station_max_temp_c,151.3051998615265,18
sj,reanalysis_specific_humidity_g_per_kg_lag_5,134.75075888633728,8
sj,station_avg_temp_c,120.46283054351807,17
sj,station_min_temp_c_lag_2,105.36567974090576,9
sj,reanalysis_specific_humidity_g_per_kg_lag_2,104.35537052154541,8
sj,station_min_temp_c_lag_1,86.95158839225769,10
sj,station_min_temp_c_lag_3,57.465740442276,10
sj,station_min_temp_c_lag_6,52.68440914154053,5
sj,station_min_temp_c_lag_8,41.75368022918701,6
sj,station_max_temp_c_lag_6,38.65575885772705,6
sj,station_min_temp_c_lag_4,8.76921010017395,2
